,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,airline_sentiment,airline_sentiment:confidence,negativereason,negativereason:confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,clean_text,encoded_tweet,predicted
0,681448150,False,finalized,3,2/25/15 5:24,0,1.0,,,Virgin America,,cairdin,,0,@VirginAmerica What @dhepburn said.,,2/24/15 11:35,5.70306e+17,,Eastern Time (US & Canada),what said,"{'input_ids': tensor([[    0, 12196,    26,     2]]), 'attention_mask': tensor([[1, 1, 1, 1]])}",0
1,681448153,False,finalized,3,2/25/15 1:53,1,0.3486,,0.0,Virgin America,,jnardino,,0,@VirginAmerica plus you've added commercials to the experience... tacky.,,2/24/15 11:15,5.70301e+17,,Pacific Time (US & Canada),plus youve added commercials to the experience tacky,"{'input_ids': tensor([[    0,  7269,    47,   548,   355, 23676,     7,     5,   676, 24420,
           219,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",-1
2,681448156,False,finalized,3,2/25/15 10:01,0,0.6837,,,Virgin America,,yvonnalynn,,0,@VirginAmerica I didn't today... Must mean I need to take another trip!,,2/24/15 11:15,5.70301e+17,Lets Play,Central Time (US & Canada),i didnt today must mean i need to take another trip,"{'input_ids': tensor([[    0,   118, 46405,   452,   531,  1266,   939,   240,     7,   185,
           277,  1805,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",0
3,681448158,False,finalized,3,2/25/15 3:05,-1,1.0,Bad Flight,0.7033,Virgin America,,jnardino,,0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",,2/24/15 11:15,5.70301e+17,,Pacific Time (US & Canada),its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,"{'input_ids': tensor([[    0,  2629,   269,  4353,     7,  7814, 39701,  4000,    11,   110,
          3958,  2419, 28127,    51,    33,   410, 32688,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",-1
4,681448159,False,finalized,3,2/25/15 5:50,-1,1.0,Can't Tell,1.0,Virgin America,,jnardino,,0,@VirginAmerica and it's a really big bad thing about it,,2/24/15 11:14,5.70301e+17,,Pacific Time (US & Canada),and its a really big bad thing about it,"{'input_ids': tensor([[   0,  463,   63,   10,  269,  380, 1099,  631,   59,   24,    2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",-1
5,681448162,False,finalized,3,2/25/15 9:10,-1,1.0,Can't Tell,0.6842,Virgin America,,jnardino,,0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",,2/24/15 11:14,5.70301e+17,,Pacific Time (US & Canada),seriously would pay 30 a flight for seats that didnt have this playing its really the only bad thing about flying va,"{'input_ids': tensor([[    0, 12778,  9997,    74,   582,   389,    10,  2524,    13,  3202,
            14, 46405,    33,    42,   816,    63,   269,     5,   129,  1099,
           631,    59,  4731, 13205,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1]])}",-1
6,681448165,False,finalized,3,2/25/15 8:11,1,0.6745,,0.0,Virgin America,,cjmcginnis,,0,"@VirginAmerica yes, nearly every time I fly VX this ÛÏear wormÛ wonÛªt go away :)",,2/24/15 11:13,5.70301e+17,San Francisco CA,Pacific Time (US & Canada),yes nearly every time i fly vx this ear worm wont go away,"{'input_ids': tensor([[    0, 10932,   823,   358,    86,   939,  3598,   748,  1178,    42,
          5567, 33021, 40067,   213,   409,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",-1
7,681448167,False,finalized,3,2/25/15 2:11,0,0.634,,,Virgin America,,pilot,,0,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",,2/24/15 11:12,5.703e+17,Los Angeles,Pacific Time (US & Canada),really missed a prime opportunity for men without hats parody there,"{'input_ids': tensor([[    0, 20982,  2039,    10,  2654,   945,    13,   604,   396, 15146,
         32806,    89,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",-1
8,681448169,False,finalized,3,2/25/15 9:01,1,0.6559,,,Virgin America,,dhepburn,,0,"@virginamerica Well, I didn'tÛ_but NOW I DO! :-D",,2/24/15 11:11,5.703e+17,San Diego,Pacific Time (US & Canada),well i didntbut now i do d,"{'input_ids': tensor([[    0,  3056,   939, 46405,  4297,   122,   939,   109,   385,     2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",0
9,681448171,False,finalized,3,2/25/15 4:15,1,1.0,,,Virgin America,,YupitsTate,,0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",,2/24/15 10:53,5.70295e+17,Los Angeles,Eastern Time (US & Canada),it was amazing and arrived an hour early youre too good to me,"{'input_ids': tensor([[   0,  405,   21, 2770,    8, 2035,   41, 1946,  419,   47,  241,  350,
          205,    7,  162,    2]]), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]])}",1
